key,value
"All Other Offenses (Except Traffic)",1796951
"Drug Abuse Violations - Grand Total",894383
"Simple Assault",732073
"Driving Under the Influence",575746
"Larceny - Theft",508181
"Aggravated Assault",302187
"Disorderly Conduct",162287
"Drunkenness",139912
"Vandalism",131200
"Weapons: Carrying, Possessing, Etc.",127306
"Burglary",120262
"Liquor Laws",79347
"Motor Vehicle Theft",67095
"Stolen Property: Buying, Receiving, Possessing",65658
"Fraud",64882
"Robbery",54945
"Offenses Against the Family and Children",42769
"Sex Offenses (Except Rape, and Prostitution and Commercialized Vice)",25535
"Forgery and Counterfeiting",24567
"Rape",16895
"Prostitution and Commercialized Vice",12895
"Vagrancy",10234
"Murder and Nonnegligent Manslaughter",9938
"Curfew and Loitering Law Violations",8417
"Embezzlement",7426
"Arson",7301
"Gambling - Total",1380
"Manslaughter by Negligence",1131
"Human Trafficking - Commercial Sex Acts",340
"Suspicion",245
"Human Trafficking - Involuntary Servitude",163
